,duration_1,duration_2,duration_3,duration_4,filename_1,filename_2,filename_3,filename_4,min_duration,hours,start,interval,error,shift
27,50312.818562,58638.015042,0.0,0.0,1_CW2_CH2_AJ01_AJ02_190609.WAV,1_CW2_CH2_AJ01_AJ14_190609.WAV,0,0,50312.818562,12,43200,300,,1.7075
28,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,3600,300,,3.645
29,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,7200,300,,3.6275
30,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,10800,300,,3.635
31,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,14400,300,,3.5975
32,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,18000,300,,3.5825
33,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,21600,300,,3.565
34,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,25200,300,,3.545
35,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,28800,300,,3.56
36,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,32400,300,,3.515
37,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,36000,300,,3.5025
38,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,39600,300,,3.4825
39,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,43200,300,,3.4625
40,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,46800,300,,3.43
41,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,50400,300,,3.4325
42,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,54000,300,,3.4075
43,65900.488333,62787.835771,0.0,0.0,2_CW2_CH2_AJ01_AJ09_190609.WAV,2_CW2_CH2_AJ01_AJ01_190609.WAV,0,0,62787.835771,16,57600,300,,3.395
44,59695.848333,66280.539542,0.0,0.0,1_CW1_CH1_AJ01_AJ16_190609.WAV,1_CW1_CH1_AJ01_AJ12_190609.WAV,0,0,59695.848333,15,3600,300,,1.1675
